UniProtKB-AC,PROSITE_PROFILE_Ndomains,PROSITE_PROFILE_domains,Gene3D_Ndomains,Gene3D_domains,PANTHER_Ndomains,PANTHER_domains,Pfam_Ndomains,Pfam_domains,SUPERFAMILY_Ndomains,SUPERFAMILY_domains,PROSITE_PATTERN_Ndomains,PROSITE_PATTERN_domains,SMART_Ndomains,SMART_domains,TIGRFAM_Ndomains,TIGRFAM_domains
P00401,12.0,"{'1': '4-29', '2': '53-76', '3': '81-105', '4': '123-135', '5': '155-173', '6': '184-203', '7': '235-256', '8': '281-296', '9': '305-326', '10': '340-358', '11': '368-387', '12': '418-439'}",1.0,{'1': '1-534'},1.0,{'1': '1-531'},1.0,{'1': '13-460'},1.0,{'1': '3-529'},2.0,"{'1': '237-291', '2': '1-534'}",,,,
P00410,,,2.0,"{'1': '112-251', '2': '1-111'}",1.0,{'1': '4-251'},2.0,"{'1': '115-239', '2': '18-102'}",2.0,"{'1': '113-251', '2': '9-110'}",3.0,"{'1': '184-232', '2': '112-250', '3': '17-111'}",,,1.0,{'1': '35-249'}
P00424,,,1.0,{'1': '22-152'},1.0,{'1': '19-149'},1.0,{'1': '23-149'},1.0,{'1': '28-148'},,,,,,
P00425,,,1.0,{'1': '20-150'},1.0,{'1': '7-147'},1.0,{'1': '21-147'},1.0,{'1': '30-146'},,,,,,
P00427,,,1.0,{'1': '47-148'},1.0,{'1': '25-143'},1.0,{'1': '46-144'},1.0,{'1': '46-145'},,,,,,
P00431,11.0,"{'1': '110-124', '2': '169-186', '3': '187-199', '4': '234-249', '5': '258-273', '6': '110-125', '7': '143-167', '8': '168-186', '9': '210-227', '10': '228-249', '11': '250-274'}",,,1.0,{'1': '90-344'},1.0,{'1': '103-321'},1.0,{'1': '73-344'},3.0,"{'1': '169-361', '2': '234-244', '3': '110-121'}",,,,
P00445,4.0,"{'1': '45-67', '2': '81-90', '3': '100-122', '4': '125-151'}",1.0,{'1': '1-154'},1.0,{'1': '1-153'},1.0,{'1': '14-150'},1.0,{'1': '4-152'},2.0,"{'1': '45-55', '2': '139-150'}",,,,
P00447,5.0,"{'1': '31-42', '2': '52-65', '3': '98-111', '4': '154-162', '5': '192-204'}",2.0,"{'1': '116-233', '2': '45-115'}",1.0,{'1': '15-230'},2.0,"{'1': '29-115', '2': '125-227'}",2.0,"{'1': '120-229', '2': '20-116'}",1.0,{'1': '194-201'},,,,
P00498,,,1.0,{'1': '225-291'},1.0,{'1': '7-296'},2.0,"{'1': '222-294', '2': '59-218'}",1.0,{'1': '225-296'},1.0,{'1': '157-178'},,,2.0,"{'1': '204-296', '2': '12-197'}"
P00546,,,,,1.0,{'1': '7-296'},1.0,{'1': '8-295'},1.0,{'1': '6-297'},3.0,"{'1': '8-295', '2': '132-144', '3': '14-40'}",1.0,{'1': '8-295'},,
P00549,7.0,"{'1': '77-93', '2': '207-221', '3': '237-263', '4': '264-288', '5': '289-313', '6': '314-332', '7': '333-349'}",3.0,"{'1': '88-189', '2': '356-487', '3': '19-355'}",1.0,{'1': '13-481'},2.0,"{'1': '19-345', '2': '380-497'}",3.0,"{'1': '88-188', '2': '16-361', '3': '369-500'}",1.0,{'1': '235-247'},,,1.0,{'1': '19-500'}
P00560,9.0,"{'1': '13-29', '2': '34-56', '3': '113-128', '4': '155-177', '5': '184-206', '6': '207-226', '7': '331-356', '8': '367-378', '9': '390-407'}",3.0,"{'1': '1-72', '2': '75-416', '3': '201-390'}",1.0,{'1': '5-415'},1.0,{'1': '9-404'},1.0,{'1': '4-415'},1.0,{'1': '18-28'},,,,
P00572,,,1.0,{'1': '1-216'},,,1.0,{'1': '10-196'},1.0,{'1': '2-210'},1.0,{'1': '91-103'},,,1.0,{'1': '2-196'}
P00635,,,1.0,{'1': '69-437'},,,1.0,{'1': '65-399'},1.0,{'1': '32-460'},2.0,"{'1': '66-80', '2': '331-347'}",,,,
P00729,4.0,"{'1': '191-203', '2': '204-214', '3': '239-264', '4': '498-511'}",1.0,{'1': '127-526'},1.0,{'1': '123-515'},2.0,"{'1': '123-528', '2': '47-106'}",1.0,{'1': '114-528'},2.0,"{'1': '253-260', '2': '498-515'}",,,,
P00812,5.0,"{'1': '119-134', '2': '142-169', '3': '199-217', '4': '251-280', '5': '286-300'}",,,1.0,{'1': '10-332'},1.0,{'1': '15-327'},1.0,{'1': '15-329'},2.0,"{'1': '3-333', '2': '254-275'}",,,1.0,{'1': '16-333'}
P00815,8.0,"{'1': '388-412', '2': '462-489', '3': '526-552', '4': '556-581', '5': '589-610', '6': '611-630', '7': '681-706', '8': '722-740'}",1.0,{'1': '131-230'},1.0,{'1': '248-790'},3.0,"{'1': '166-238', '2': '375-788', '3': '248-328'}",2.0,"{'1': '380-788', '2': '142-243'}",1.0,{'1': '589-621'},,,2.0,"{'1': '247-324', '2': '388-787'}"
P00817,,,1.0,{'1': '2-287'},1.0,{'1': '4-236'},1.0,{'1': '46-228'},1.0,{'1': '3-283'},,,,,,
P00830,,,2.0,"{'1': '391-511', '2': '116-390'}",1.0,{'1': '30-507'},3.0,"{'1': '170-388', '2': '46-113', '3': '395-483'}",2.0,"{'1': '117-394', '2': '41-115'}",1.0,{'1': '379-388'},1.0,{'1': '182-451'},1.0,{'1': '43-506'}
P00854,4.0,"{'1': '98-114', '2': '159-174', '3': '179-201', '4': '239-254'}",1.0,{'1': '92-259'},1.0,{'1': '2-259'},1.0,{'1': '41-253'},1.0,{'1': '89-252'},1.0,{'1': '182-191'},,,1.0,{'1': '13-255'}
P00890,6.0,"{'1': '217-230', '2': '265-280', '3': '288-316', '4': '348-368', '5': '409-425', '6': '430-444'}",2.0,"{'1': '50-461', '2': '315-429'}",1.0,{'1': '36-474'},1.0,{'1': '83-461'},1.0,{'1': '43-473'},1.0,{'1': '355-367'},,,1.0,{'1': '43-468'}
P00899,4.0,"{'1': '332-345', '2': '346-359', '3': '426-440', '4': '442-456'}",1.0,{'1': '2-503'},1.0,{'1': '8-498'},2.0,"{'1': '39-173', '2': '230-485'}",1.0,{'1': '26-493'},,,,,1.0,{'1': '39-493'}
P00912,,,1.0,{'1': '12-224'},1.0,{'1': '10-224'},1.0,{'1': '25-221'},1.0,{'1': '13-222'},,,,,,
P00924,6.0,"{'1': '35-49', '2': '107-123', '3': '166-179', '4': '320-331', '5': '343-357', '6': '372-389'}",2.0,"{'1': '1-127', '2': '128-437'}",1.0,{'1': '1-432'},2.0,"{'1': '145-432', '2': '3-134'}",2.0,"{'1': '3-137', '2': '145-433'}",1.0,{'1': '343-356'},2.0,"{'1': '144-434', '2': '3-134'}",1.0,{'1': '4-431'}
P00925,6.0,"{'1': '35-49', '2': '107-123', '3': '166-179', '4': '320-331', '5': '343-357', '6': '372-389'}",2.0,"{'1': '1-127', '2': '128-437'}",1.0,{'1': '1-432'},2.0,"{'1': '145-432', '2': '3-134'}",2.0,"{'1': '3-137', '2': '145-433'}",1.0,{'1': '343-356'},2.0,"{'1': '144-434', '2': '3-134'}",1.0,{'1': '4-431'}
P00927,,,3.0,"{'1': '83-351', '2': '112-203', '3': '392-576'}",1.0,{'1': '71-574'},3.0,"{'1': '383-480', '2': '486-574', '3': '78-348'}",2.0,"{'1': '44-419', '2': '482-574'}",3.0,"{'1': '100-113', '2': '393-473', '3': '495-566'}",,,1.0,{'1': '62-574'}
P00931,,,3.0,"{'1': '2-272', '2': '306-502', '3': '350-681'}",1.0,{'1': '1-690'},2.0,"{'1': '350-675', '2': '9-259'}",2.0,"{'1': '4-254', '2': '302-687'}",2.0,"{'1': '377-391', '2': '49-62'}",,,2.0,"{'1': '9-242', '2': '305-686'}"
P00937,,,2.0,"{'1': '209-484', '2': '12-202'}",1.0,{'1': '9-206'},2.0,"{'1': '217-482', '2': '15-197'}",2.0,"{'1': '250-483', '2': '10-204'}",1.0,{'1': '270-286'},,,1.0,{'1': '13-199'}
P00942,,,1.0,{'1': '1-248'},1.0,{'1': '2-246'},1.0,{'1': '6-246'},1.0,{'1': '2-245'},2.0,"{'1': '4-246', '2': '163-173'}",,,1.0,{'1': '6-239'}
P00950,,,1.0,{'1': '2-247'},1.0,{'1': '3-246'},1.0,{'1': '4-123'},1.0,{'1': '1-245'},1.0,{'1': '6-15'},1.0,{'1': '3-189'},1.0,{'1': '3-246'}
P00958,6.0,"{'1': '200-213', '2': '233-247', '3': '281-292', '4': '447-458', '5': '482-497', '6': '577-588'}",2.0,"{'1': '197-578', '2': '333-367'}",1.0,{'1': '132-750'},3.0,"{'1': '198-589', '2': '11-132', '3': '613-750'}",2.0,"{'1': '582-747', '2': '333-367'}",1.0,{'1': '205-216'},,,1.0,{'1': '198-735'}
P01094,,,,,,,1.0,{'1': '1-68'},1.0,{'1': '2-30'},,,,,,
P01097,,,,,,,1.0,{'1': '16-85'},,,,,,,,
P01119,,,1.0,{'1': '5-176'},1.0,{'1': '10-228'},1.0,{'1': '12-171'},1.0,{'1': '9-173'},1.0,{'1': '4-308'},1.0,{'1': '13-174'},1.0,{'1': '9-165'}
P01120,,,1.0,{'1': '4-178'},1.0,{'1': '10-192'},1.0,{'1': '12-171'},1.0,{'1': '9-180'},1.0,{'1': '4-229'},1.0,{'1': '13-174'},1.0,{'1': '9-167'}
P01123,,,1.0,{'1': '1-206'},1.0,{'1': '8-186'},1.0,{'1': '10-170'},1.0,{'1': '4-206'},1.0,{'1': '1-199'},1.0,{'1': '11-172'},1.0,{'1': '7-164'}
P02293,5.0,"{'1': '41-59', '2': '60-80', '3': '82-99', '4': '99-112', '5': '112-125'}",1.0,{'1': '1-129'},1.0,{'1': '14-126'},1.0,{'1': '6-104'},1.0,{'1': '12-128'},1.0,{'1': '96-118'},1.0,{'1': '31-127'},,
P02294,5.0,"{'1': '41-59', '2': '60-80', '3': '82-99', '4': '99-112', '5': '112-125'}",1.0,{'1': '1-129'},1.0,{'1': '14-126'},1.0,{'1': '6-104'},1.0,{'1': '13-128'},1.0,{'1': '96-118'},1.0,{'1': '31-127'},,
P02309,6.0,"{'1': '5-16', '2': '20-39', '3': '40-60', '4': '62-76', '5': '77-89', '6': '89-100'}",1.0,{'1': '2-103'},1.0,{'1': '1-102'},1.0,{'1': '33-96'},1.0,{'1': '3-102'},1.0,{'1': '15-19'},1.0,{'1': '16-90'},,
P02381,,,,,,,1.0,{'1': '135-398'},,,,,,,,
P02400,,,1.0,{'1': '1-60'},1.0,{'1': '1-110'},,,,,,,,,,
P02406,,,,,,,1.0,{'1': '72-146'},1.0,{'1': '6-148'},1.0,{'1': '111-142'},,,,
P02407,,,1.0,{'1': '1-62'},1.0,{'1': '1-121'},1.0,{'1': '1-117'},1.0,{'1': '1-62'},1.0,{'1': '41-56'},,,,
P02557,22.0,"{'1': '10-30', '2': '51-70', '3': '93-104', '4': '106-130', '5': '132-150', '6': '151-172', '7': '176-189', '8': '190-210', '9': '370-398', '10': '41-58', '11': '88-99', '12': '108-126', '13': '152-164', '14': '212-224', '15': '230-239', '16': '245-258', '17': '265-281', '18': '311-329', '19': '329-343', '20': '347-370', '21': '377-388', '22': '412-430'}",3.0,"{'1': '374-441', '2': '1-262', '3': '263-373'}",1.0,{'1': '2-426'},2.0,"{'1': '3-212', '2': '261-381'}",2.0,"{'1': '244-429', '2': '1-243'}",2.0,"{'1': '1-4', '2': '140-146'}",2.0,"{'1': '47-244', '2': '246-383'}",,
P02829,7.0,"{'1': '4-24', '2': '25-47', '3': '74-91', '4': '92-109', '5': '117-139', '6': '169-186', '7': '187-205'}",2.0,"{'1': '1-231', '2': '527-677'}",1.0,{'1': '4-701'},1.0,{'1': '183-693'},3.0,"{'1': '272-527', '2': '3-211', '3': '549-672'}",1.0,{'1': '24-33'},1.0,{'1': '26-164'},,
P02992,5.0,"{'1': '50-63', '2': '94-102', '3': '114-124', '4': '130-141', '5': '167-176'}",1.0,{'1': '39-241'},1.0,{'1': '40-437'},3.0,"{'1': '46-240', '2': '337-435', '3': '263-333'}",3.0,"{'1': '243-338', '2': '338-436', '3': '45-264'}",2.0,"{'1': '46-242', '2': '87-102'}",,,2.0,"{'1': '40-437', '2': '49-187'}"
P02994,5.0,"{'1': '9-22', '2': '68-76', '3': '88-98', '4': '104-115', '5': '148-157'}",1.0,{'1': '1-236'},1.0,{'1': '1-442'},3.0,"{'1': '5-232', '2': '258-324', '3': '337-437'}",3.0,"{'1': '241-332', '2': '335-440', '3': '3-259'}",2.0,"{'1': '5-240', '2': '61-76'}",,,1.0,{'1': '1-444'}
P03069,,,,,1.0,{'1': '76-279'},1.0,{'1': '225-276'},1.0,{'1': '225-279'},2.0,"{'1': '231-245', '2': '231-276'}",1.0,{'1': '223-280'},,
P03871,,,,,,,1.0,{'1': '10-117'},,,,,,,,
P03874,,,,,,,,,,,,,,,,
P03882,,,2.0,"{'1': '1-122', '2': '123-235'}",1.0,{'1': '23-221'},1.0,{'1': '35-208'},1.0,{'1': '22-225'},,,,,,
P03965,7.0,"{'1': '40-54', '2': '69-79', '3': '189-201', '4': '223-242', '5': '258-275', '6': '315-344', '7': '397-415'}",3.0,"{'1': '706-775', '2': '425-573', '3': '969-1101'}",,,6.0,"{'1': '149-352', '2': '694-891', '3': '438-517', '4': '984-1071', '5': '29-144', '6': '578-689'}",4.0,"{'1': '27-147', '2': '576-695', '3': '413-574', '4': '967-1086'}",7.0,"{'1': '185-199', '2': '729-743', '3': '315-322', '4': '859-866', '5': '960-1118', '6': '154-346', '7': '698-890'}",1.0,{'1': '436-567'},1.0,{'1': '26-1084'}
P04037,,,1.0,{'1': '51-150'},1.0,{'1': '22-152'},1.0,{'1': '31-155'},,,1.0,{'1': '51-150'},,,,
P04039,,,1.0,{'1': '28-74'},1.0,{'1': '1-75'},1.0,{'1': '16-74'},1.0,{'1': '29-74'},,,,,,
P04046,,,2.0,"{'1': '2-470', '2': '283-452'}",,,1.0,{'1': '287-401'},2.0,"{'1': '2-241', '2': '260-485'}",1.0,{'1': '2-239'},,,1.0,{'1': '2-470'}
P04050,,,5.0,"{'1': '668-786', '2': '1141-1275', '3': '515-663', '4': '1-128', '5': '257-305'}",1.0,{'1': '18-1444'},32.0,"{'1': '1539-1549', '2': '1543-1556', '3': '1550-1563', '4': '1557-1570', '5': '1564-1577', '6': '1571-1584', '7': '1578-1591', '8': '1585-1598', '9': '1592-1605', '10': '1599-1612', '11': '1606-1619', '12': '1613-1626', '13': '1620-1633', '14': '1627-1640', '15': '1634-1647', '16': '1641-1654', '17': '1648-1661', '18': '1655-1668', '19': '1662-1675', '20': '1669-1682', '21': '1676-1689', '22': '1683-1696', '23': '1690-1703', '24': '1697-1710', '25': '1704-1717', '26': '342-507', '27': '510-669', '28': '1141-1274', '29': '873-1056', '30': '12-340', '31': '807-1396', '32': '695-800'}",,,10.0,"{'1': '1563-1569', '2': '1570-1576', '3': '1577-1583', '4': '1584-1590', '5': '1598-1604', '6': '1605-1611', '7': '1612-1618', '8': '1619-1625', '9': '1689-1695', '10': '1696-1702'}",1.0,{'1': '232-535'},,
P04051,,,3.0,"{'1': '718-834', '2': '545-717', '3': '1-129'}",1.0,{'1': '5-1433'},5.0,"{'1': '370-537', '2': '540-717', '3': '11-368', '4': '855-1382', '5': '744-848'}",,,,,1.0,{'1': '254-565'},,
P04076,4.0,"{'1': '108-126', '2': '154-172', '3': '238-265', '4': '282-298'}",1.0,{'1': '27-236'},1.0,{'1': '5-462'},2.0,"{'1': '11-307', '2': '370-438'}",1.0,{'1': '11-462'},1.0,{'1': '282-291'},,,1.0,{'1': '8-462'}
P04147,,,4.0,"{'1': '6-123', '2': '124-207', '3': '208-306', '4': '307-428'}",,,5.0,"{'1': '40-109', '2': '128-196', '3': '221-289', '4': '324-392', '5': '498-563'}",3.0,"{'1': '37-207', '2': '218-403', '3': '432-575'}",5.0,"{'1': '38-116', '2': '126-203', '3': '219-296', '4': '322-399', '5': '489-568'}",9.0,"{'1': '39-112', '2': '127-199', '3': '220-292', '4': '323-395', '5': '501-566', '6': '39-112', '7': '127-199', '8': '220-292', '9': '323-395'}",1.0,{'1': '38-435'}
P04161,,,,,,,1.0,{'1': '3-205'},1.0,{'1': '3-209'},1.0,{'1': '156-179'},,,1.0,{'1': '2-214'}
P04387,,,,,1.0,{'1': '12-427'},2.0,"{'1': '18-146', '2': '156-307'}",2.0,"{'1': '3-196', '2': '349-430'}",,,,,,
P04449,,,1.0,{'1': '1-68'},1.0,{'1': '1-145'},1.0,{'1': '1-66'},,,1.0,{'1': '8-25'},,,,
P04456,,,1.0,{'1': '23-142'},1.0,{'1': '3-142'},2.0,"{'1': '3-53', '2': '61-122'}",1.0,{'1': '60-135'},1.0,{'1': '120-135'},,,,
P04650,,,1.0,{'1': '1-51'},,,1.0,{'1': '9-50'},1.0,{'1': '4-50'},1.0,{'1': '30-46'},,,,
P04786,6.0,"{'1': '292-301', '2': '406-425', '3': '429-443', '4': '451-467', '5': '510-524', '6': '721-732'}",4.0,"{'1': '132-361', '2': '160-251', '3': '363-561', '4': '621-769'}",1.0,{'1': '24-769'},3.0,"{'1': '143-361', '2': '364-589', '3': '699-769'}",2.0,"{'1': '364-768', '2': '129-362'}",1.0,{'1': '714-732'},1.0,{'1': '292-741'},,
P04801,5.0,"{'1': '415-443', '2': '448-471', '3': '549-577', '4': '595-608', '5': '622-634'}",3.0,"{'1': '74-137', '2': '621-732', '3': '311-620'}",,,4.0,"{'1': '404-616', '2': '76-133', '3': '629-722', '4': '257-305'}",3.0,"{'1': '76-133', '2': '142-325', '3': '329-613'}",2.0,"{'1': '69-135', '2': '316-622'}",1.0,{'1': '256-305'},1.0,{'1': '150-722'}
P04802,4.0,"{'1': '298-310', '2': '315-328', '3': '470-486', '4': '512-526'}",2.0,"{'1': '71-203', '2': '205-557'}",1.0,{'1': '24-557'},2.0,"{'1': '228-551', '2': '109-196'}",2.0,"{'1': '72-202', '2': '218-556'}",1.0,{'1': '248-549'},,,1.0,{'1': '94-557'}
P04806,,,,,1.0,{'1': '24-477'},2.0,"{'1': '27-221', '2': '227-469'}",2.0,"{'1': '19-224', '2': '226-483'}",2.0,"{'1': '21-468', '2': '153-178'}",,,,
P04807,,,,,1.0,{'1': '24-478'},2.0,"{'1': '27-221', '2': '227-470'}",2.0,"{'1': '19-224', '2': '226-484'}",2.0,"{'1': '21-469', '2': '153-178'}",,,,
P04819,,,2.0,"{'1': '603-755', '2': '130-395'}",1.0,{'1': '55-751'},3.0,"{'1': '147-323', '2': '623-732', '3': '393-598'}",2.0,"{'1': '606-750', '2': '140-383'}",3.0,"{'1': '499-636', '2': '571-598', '3': '417-425'}",,,1.0,{'1': '206-748'}
P04821,,,1.0,{'1': '1276-1542'},1.0,{'1': '774-1547'},3.0,"{'1': '1120-1215', '2': '77-119', '3': '1309-1489'}",2.0,"{'1': '1097-1546', '2': '44-141'}",4.0,"{'1': '1117-1247', '2': '58-128', '3': '1305-1542', '4': '1456-1488'}",3.0,"{'1': '1116-1247', '2': '61-127', '3': '1301-1543'}",,
P04840,4.0,"{'1': '4-19', '2': '68-83', '3': '145-156', '4': '247-264'}",1.0,{'1': '1-283'},1.0,{'1': '2-281'},1.0,{'1': '3-276'},,,1.0,{'1': '225-247'},,,,
P04912,5.0,"{'1': '15-37', '2': '44-59', '3': '59-72', '4': '73-87', '5': '101-119'}",1.0,{'1': '2-132'},1.0,{'1': '12-121'},2.0,"{'1': '8-90', '2': '93-127'}",1.0,{'1': '7-127'},1.0,{'1': '23-29'},1.0,{'1': '4-124'},,
P05030,5.0,"{'1': '498-516', '2': '604-620', '3': '632-648', '4': '663-688', '5': '796-817'}",2.0,"{'1': '373-669', '2': '388-533'}",,,1.0,{'1': '78-134'},3.0,"{'1': '178-276', '2': '78-869', '3': '373-681'}",1.0,{'1': '378-384'},1.0,{'1': '69-140'},4.0,"{'1': '146-399', '2': '432-574', '3': '607-712', '4': '87-842'}"
P05066,4.0,"{'1': '235-251', '2': '431-447', '3': '451-469', '4': '490-504'}",1.0,{'1': '79-301'},1.0,{'1': '76-563'},2.0,"{'1': '381-562', '2': '77-251'}",2.0,"{'1': '295-564', '2': '76-293'}",3.0,"{'1': '75-226', '2': '431-443', '3': '451-470'}",,,,
P05085,,,1.0,{'1': '13-52'},1.0,{'1': '6-860'},2.0,"{'1': '19-58', '2': '395-878'}",1.0,{'1': '12-57'},2.0,"{'1': '20-48', '2': '20-48'}",1.0,{'1': '15-59'},,
P05317,,,2.0,"{'1': '4-204', '2': '108-181'}",1.0,{'1': '6-312'},2.0,"{'1': '5-103', '2': '109-178'}",1.0,{'1': '4-127'},,,,,,
P05318,,,1.0,{'1': '1-61'},,,,,,,,,,,,
P05319,,,1.0,{'1': '1-57'},1.0,{'1': '1-106'},,,,,,,,,,
P05373,6.0,"{'1': '134-148', '2': '165-184', '3': '204-223', '4': '256-272', '5': '282-297', '6': '312-331'}",1.0,{'1': '1-342'},1.0,{'1': '10-341'},1.0,{'1': '22-337'},,,1.0,{'1': '256-268'},1.0,{'1': '13-338'},,
P05374,,,,,,,2.0,"{'1': '218-321', '2': '471-577'}",,,1.0,{'1': '2-869'},,,,
P05453,9.0,"{'1': '262-275', '2': '341-351', '3': '357-368', '4': '401-410', '5': '239-255', '6': '364-371', '7': '399-406', '8': '485-496', '9': '625-634'}",1.0,{'1': '238-484'},1.0,{'1': '257-683'},3.0,"{'1': '258-478', '2': '502-570', '3': '581-680'}",3.0,"{'1': '483-575', '2': '579-683', '3': '247-492'}",2.0,"{'1': '258-484', '2': '314-329'}",,,,
P05626,,,,,1.0,{'1': '36-242'},1.0,{'1': '75-237'},,,,,,,,
P05694,,,2.0,"{'1': '6-535', '2': '400-762'}",,,2.0,"{'1': '439-759', '2': '4-322'}",2.0,"{'1': '5-402', '2': '404-764'}",,,,,1.0,{'1': '7-764'}
P05737,,,2.0,"{'1': '83-186', '2': '187-244'}",1.0,{'1': '7-244'},2.0,"{'1': '9-79', '2': '84-134'}",1.0,{'1': '83-244'},1.0,{'1': '102-134'},,,1.0,{'1': '9-244'}
P05738,,,2.0,"{'1': '1-85', '2': '86-191'}",1.0,{'1': '1-187'},2.0,"{'1': '12-85', '2': '97-178'}",2.0,"{'1': '1-85', '2': '86-184'}",1.0,{'1': '163-184'},,,,
P05739,,,1.0,{'1': '33-117'},1.0,{'1': '2-176'},1.0,{'1': '71-176'},1.0,{'1': '32-118'},1.0,{'1': '72-90'},,,,
P05740,,,1.0,{'1': '1-156'},1.0,{'1': '1-173'},1.0,{'1': '17-151'},1.0,{'1': '7-153'},1.0,{'1': '126-150'},,,1.0,{'1': '4-153'}
P05743,,,1.0,{'1': '1-127'},1.0,{'1': '3-123'},2.0,"{'1': '9-122', '2': '53-83'}",1.0,{'1': '9-124'},1.0,{'1': '53-70'},,,1.0,{'1': '9-123'}
P05744,,,1.0,{'1': '1-107'},1.0,{'1': '3-107'},1.0,{'1': '7-101'},1.0,{'1': '7-101'},1.0,{'1': '69-90'},,,,
P05745,,,1.0,{'1': '1-100'},1.0,{'1': '3-99'},1.0,{'1': '5-99'},,,1.0,{'1': '52-62'},,,,
P05747,,,,,1.0,{'1': '1-58'},1.0,{'1': '3-42'},,,,,,,,
P05748,,,1.0,{'1': '1-204'},1.0,{'1': '1-203'},1.0,{'1': '2-187'},1.0,{'1': '1-193'},1.0,{'1': '46-69'},1.0,{'1': '2-192'},,
P05749,,,1.0,{'1': '1-121'},1.0,{'1': '6-120'},1.0,{'1': '11-118'},,,,,,,,
P05750,,,2.0,"{'1': '1-91', '2': '93-240'}",1.0,{'1': '7-204'},2.0,"{'1': '107-188', '2': '20-93'}",2.0,"{'1': '13-99', '2': '93-191'}",2.0,"{'1': '21-92', '2': '147-183'}",,,1.0,{'1': '8-210'}
