UniProtKB-AC,SUPERFAMILY_Ndomains,SUPERFAMILY_domains,Gene3D_Ndomains,Gene3D_domains,PANTHER_Ndomains,PANTHER_domains,Pfam_Ndomains,Pfam_domains,PROSITE_PROFILE_Ndomains,PROSITE_PROFILE_domains,PROSITE_PATTERN_Ndomains,PROSITE_PATTERN_domains,SMART_Ndomains,SMART_domains,TIGRFAM_Ndomains,TIGRFAM_domains
F4IAN2,1.0,{'1': '702-966'},,,1.0,{'1': '604-977'},2.0,"{'1': '716-967', '2': '155-359'}",5.0,"{'1': '789-802', '2': '828-846', '3': '875-885', '4': '894-916', '5': '938-960'}",3.0,"{'1': '715-970', '2': '834-846', '3': '721-743'}",1.0,{'1': '715-974'},,
F4IDB2,,,,,1.0,{'1': '1-1217'},2.0,"{'1': '667-818', '2': '62-210'}",,,,,,,,
F4IEM5,,,1.0,{'1': '1-410'},,,1.0,{'1': '70-410'},11.0,"{'1': '72-90', '2': '163-178', '3': '224-240', '4': '279-299', '5': '325-338', '6': '380-397', '7': '2-15', '8': '213-225', '9': '259-274', '10': '296-317', '11': '341-359'}",,,1.0,{'1': '69-410'},,
F4IHD7,,,1.0,{'1': '4-186'},1.0,{'1': '11-373'},1.0,{'1': '15-178'},,,,,,,,
F4IHY7,,,,,1.0,{'1': '12-524'},,,,,,,,,,
F4IIM1,5.0,"{'1': '56-640', '2': '576-1521', '3': '1537-1654', '4': '1621-2028', '5': '2029-2147'}",8.0,"{'1': '50-412', '2': '444-605', '3': '613-817', '4': '818-1185', '5': '1186-1380', '6': '1381-1617', '7': '1618-2029', '8': '2030-2150'}",1.0,{'1': '27-2150'},3.0,"{'1': '2030-2124', '2': '524-563', '3': '86-312'}",,,2.0,"{'1': '2011-2128', '2': '535-577'}",20.0,"{'1': '2031-2127', '2': '94-135', '3': '136-176', '4': '267-308', '5': '310-359', '6': '483-522', '7': '524-564', '8': '566-606', '9': '645-685', '10': '732-770', '11': '816-858', '12': '1229-1269', '13': '1311-1352', '14': '1398-1438', '15': '1439-1479', '16': '1481-1520', '17': '1568-1607', '18': '1730-1769', '19': '1814-1855', '20': '1857-1897'}",,
F4IIU4,,,2.0,"{'1': '271-350', '2': '351-450'}",,,12.0,"{'1': '340-375', '2': '495-584', '3': '596-681', '4': '692-777', '5': '788-879', '6': '890-978', '7': '989-1069', '8': '1084-1167', '9': '1182-1273', '10': '1297-1362', '11': '1484-1569', '12': '1599-1695'}",,,2.0,"{'1': '293-314', '2': '339-360'}",,,,
F4IK69,,,,,1.0,{'1': '1-687'},2.0,"{'1': '221-277', '2': '552-627'}",,,2.0,"{'1': '5-46', '2': '200-221'}",4.0,"{'1': '109-146', '2': '198-221', '3': '222-252', '4': '253-282'}",,
F4IP06,,,,,,,2.0,"{'1': '270-298', '2': '14-239'}",,,,,1.0,{'1': '269-298'},,
F4IPK2,,,1.0,{'1': '35-189'},1.0,{'1': '30-261'},1.0,{'1': '61-140'},,,1.0,{'1': '34-180'},,,,
F4IQV7,1.0,{'1': '136-558'},1.0,{'1': '139-565'},1.0,{'1': '144-562'},1.0,{'1': '207-552'},,,,,,,,
F4IS91,1.0,{'1': '1272-1318'},,,1.0,{'1': '6-1337'},2.0,"{'1': '597-712', '2': '987-1050'}",,,1.0,{'1': '1270-1305'},1.0,{'1': '595-720'},,
F4ISN0,,,,,,,1.0,{'1': '2366-2484'},,,,,,,,
F4ISU2,,,,,,,1.0,{'1': '181-314'},,,,,,,,
F4ITL6,,,,,1.0,{'1': '27-219'},1.0,{'1': '45-193'},,,,,,,,
F4IUW3,,,,,,,1.0,{'1': '159-540'},,,,,,,,
F4IV99,4.0,"{'1': '416-500', '2': '512-588', '3': '612-846', '4': '849-1128'}",2.0,"{'1': '856-1084', '2': '616-855'}",,,5.0,"{'1': '628-912', '2': '940-1053', '3': '534-588', '4': '1533-1627', '5': '1367-1450'}",,,4.0,"{'1': '420-499', '2': '533-597', '3': '943-1094', '4': '637-809'}",4.0,"{'1': '531-590', '2': '969-1053', '3': '621-817', '4': '1523-1628'}",,
F4IVP3,1.0,{'1': '735-1007'},3.0,"{'1': '22-141', '2': '142-213', '3': '214-546'}",1.0,{'1': '459-1014'},7.0,"{'1': '735-934', '2': '315-335', '3': '408-426', '4': '431-447', '5': '482-501', '6': '117-176', '7': '22-66'}",,,1.0,{'1': '731-1020'},5.0,"{'1': '115-139', '2': '164-187', '3': '264-288', '4': '405-429', '5': '480-504'}",,
F4IVV0,,,,,,,1.0,{'1': '28-61'},,,1.0,{'1': '29-42'},1.0,{'1': '29-60'},,
F4IXE7,2.0,"{'1': '718-769', '2': '913-1000'}",1.0,{'1': '714-820'},,,3.0,"{'1': '729-768', '2': '651-701', '3': '883-1021'}",,,2.0,"{'1': '879-1024', '2': '726-771'}",2.0,"{'1': '728-769', '2': '770-822'}",,
F4J355,1.0,{'1': '75-258'},,,1.0,{'1': '51-261'},2.0,"{'1': '78-173', '2': '213-261'}",3.0,"{'1': '79-96', '2': '122-138', '3': '155-170'}",,,1.0,{'1': '77-257'},,
F4J4V4,2.0,"{'1': '326-438', '2': '17-271'}",4.0,"{'1': '325-439', '2': '9-121', '3': '122-187', '4': '188-310'}",1.0,{'1': '7-444'},4.0,"{'1': '21-117', '2': '119-183', '3': '192-272', '4': '325-398'}",2.0,"{'1': '122-137', '2': '234-248'}",6.0,"{'1': '88-120', '2': '121-153', '3': '153-185', '4': '186-218', '5': '218-250', '6': '327-360'}",10.0,"{'1': '54-84', '2': '88-117', '3': '121-150', '4': '153-182', '5': '186-215', '6': '218-247', '7': '250-279', '8': '327-360', '9': '361-394', '10': '395-428'}",,
F4J5I0,1.0,{'1': '174-409'},,,1.0,{'1': '1-766'},1.0,{'1': '130-490'},,,,,,,,
F4J738,1.0,{'1': '1-1000'},1.0,{'1': '5-947'},,,3.0,"{'1': '25-96', '2': '153-437', '3': '631-920'}",,,1.0,{'1': '25-99'},1.0,{'1': '25-99'},,
F4J8D3,1.0,{'1': '4-620'},1.0,{'1': '4-418'},1.0,{'1': '1-1173'},,,,,,,,,,
F4J8U4,,,,,,,1.0,{'1': '5-57'},,,,,,,,
F4J9A0,3.0,"{'1': '515-845', '2': '229-390', '3': '414-511'}",1.0,{'1': '415-510'},,,2.0,"{'1': '230-357', '2': '515-845'}",,,1.0,{'1': '517-852'},1.0,{'1': '514-770'},,
F4JAE0,1.0,{'1': '144-444'},1.0,{'1': '18-523'},1.0,{'1': '10-531'},2.0,"{'1': '303-331', '2': '348-373'}",,,1.0,{'1': '341-382'},5.0,"{'1': '217-263', '2': '292-331', '3': '334-373', '4': '376-428', '5': '476-513'}",,
F4JEX5,1.0,{'1': '398-675'},1.0,{'1': '398-672'},1.0,{'1': '236-677'},4.0,"{'1': '439-569', '2': '643-676', '3': '594-634', '4': '63-132'}",,,1.0,{'1': '541-560'},1.0,{'1': '435-571'},,
F4JH53,,,1.0,{'1': '114-278'},1.0,{'1': '4-635'},3.0,"{'1': '503-633', '2': '117-224', '3': '42-84'}",,,,,,,,
F4JLC1,1.0,{'1': '204-313'},,,1.0,{'1': '46-328'},,,,,,,,,,
F4JLY4,1.0,{'1': '85-548'},1.0,{'1': '71-542'},,,1.0,{'1': '85-538'},11.0,"{'1': '355-372', '2': '408-419', '3': '485-494', '4': '113-132', '5': '231-249', '6': '344-361', '7': '364-390', '8': '407-425', '9': '448-472', '10': '484-494', '11': '494-517'}",1.0,{'1': '487-496'},,,,
F4JNA9,3.0,"{'1': '178-434', '2': '2-151', '3': '411-492'}",6.0,"{'1': '177-336', '2': '533-689', '3': '690-860', '4': '861-1092', '5': '9-176', '6': '343-425'}",1.0,{'1': '12-687'},5.0,"{'1': '13-177', '2': '189-359', '3': '608-626', '4': '745-764', '5': '425-492'}",,,1.0,{'1': '11-175'},1.0,{'1': '12-149'},,
F4JNS8,,,1.0,{'1': '20-206'},1.0,{'1': '30-459'},1.0,{'1': '32-196'},,,,,,,,
F4JP43,,,,,1.0,{'1': '835-2034'},1.0,{'1': '1576-1640'},,,,,2.0,"{'1': '1571-1635', '2': '1662-1720'}",,
F4JRR1,,,,,1.0,{'1': '1-753'},2.0,"{'1': '31-105', '2': '414-718'}",,,,,,,,
F4JS25,1.0,{'1': '38-563'},4.0,"{'1': '2-136', '2': '275-397', '3': '398-497', '4': '498-594'}",1.0,{'1': '4-1051'},1.0,{'1': '468-498'},,,5.0,"{'1': '297-330', '2': '331-364', '3': '365-398', '4': '433-466', '5': '467-500'}",10.0,"{'1': '39-72', '2': '73-106', '3': '297-330', '4': '331-364', '5': '365-398', '6': '399-432', '7': '433-466', '8': '467-500', '9': '501-534', '10': '535-567'}",,
F4JTI1,2.0,"{'1': '40-162', '2': '437-614'}",2.0,"{'1': '48-175', '2': '459-631'}",1.0,{'1': '1-776'},1.0,{'1': '317-394'},,,2.0,"{'1': '51-84', '2': '317-396'}",5.0,"{'1': '317-396', '2': '51-84', '3': '89-124', '4': '125-158', '5': '532-565'}",,
F4JTS9,1.0,{'1': '15-403'},1.0,{'1': '19-402'},,,1.0,{'1': '63-390'},,,1.0,{'1': '239-252'},5.0,"{'1': '182-208', '2': '209-230', '3': '262-283', '4': '293-314', '5': '362-382'}",,
F4JUL9,1.0,{'1': '3-168'},1.0,{'1': '1-168'},1.0,{'1': '1-168'},1.0,{'1': '1-167'},,,,,,,,
F4JXM9,,,,,,,2.0,"{'1': '270-539', '2': '773-927'}",,,,,,,,
F4JY24,5.0,"{'1': '850-899', '2': '901-1023', '3': '184-409', '4': '411-692', '5': '759-848'}",3.0,"{'1': '415-707', '2': '747-845', '3': '195-410'}",,,4.0,"{'1': '197-474', '2': '496-609', '3': '759-835', '4': '903-1013'}",,,3.0,"{'1': '499-650', '2': '206-371', '3': '845-897'}",4.0,"{'1': '846-895', '2': '948-1009', '3': '525-609', '4': '190-382'}",,
F4JY76,,,,,1.0,{'1': '15-511'},1.0,{'1': '105-500'},,,1.0,{'1': '288-488'},,,,
F4JZX8,2.0,"{'1': '82-218', '2': '268-570'}",3.0,"{'1': '122-331', '2': '332-483', '3': '484-686'}",1.0,{'1': '26-698'},3.0,"{'1': '86-321', '2': '328-488', '3': '529-634'}",,,,,14.0,"{'1': '72-104', '2': '106-138', '3': '140-172', '4': '174-205', '5': '207-238', '6': '240-275', '7': '277-311', '8': '321-353', '9': '355-389', '10': '399-435', '11': '437-468', '12': '470-502', '13': '504-538', '14': '540-571'}",,
F4JZY1,,,,,,,,,,,1.0,{'1': '10-84'},,,,
F4K0J3,1.0,{'1': '7-393'},1.0,{'1': '1-394'},1.0,{'1': '3-1257'},1.0,{'1': '35-360'},4.0,"{'1': '76-97', '2': '215-232', '3': '256-274', '4': '310-331'}",2.0,"{'1': '6-360', '2': '255-266'}",1.0,{'1': '4-368'},,
F4K128,2.0,"{'1': '362-610', '2': '612-866'}",2.0,"{'1': '616-920', '2': '357-609'}",,,3.0,"{'1': '389-676', '2': '696-809', '3': '902-964'}",,,2.0,"{'1': '699-866', '2': '398-563'}",3.0,"{'1': '725-809', '2': '382-574', '3': '902-964'}",,
F4K265,,,,,1.0,{'1': '1-208'},1.0,{'1': '10-177'},,,,,,,,
F4K4E3,1.0,{'1': '3-127'},,,1.0,{'1': '2-112'},1.0,{'1': '6-70'},,,1.0,{'1': '2-75'},1.0,{'1': '5-71'},,
F4K4J0,,,,,1.0,{'1': '26-818'},1.0,{'1': '81-437'},,,,,,,,
F4K5J1,2.0,"{'1': '34-784', '2': '783-882'}",1.0,{'1': '65-662'},,,7.0,"{'1': '761-774', '2': '785-803', '3': '807-827', '4': '833-852', '5': '64-720', '6': '1345-1449', '7': '9-48'}",5.0,"{'1': '92-111', '2': '149-174', '3': '196-223', '4': '429-457', '5': '482-510'}",3.0,"{'1': '62-732', '2': '1159-1470', '3': '8-57'}",7.0,"{'1': '757-779', '2': '782-804', '3': '805-827', '4': '830-852', '5': '853-875', '6': '56-733', '7': '1345-1452'}",,
F4K9W6,,,4.0,"{'1': '79-220', '2': '330-472', '3': '26-78', '4': '274-329'}",1.0,{'1': '17-486'},4.0,"{'1': '31-82', '2': '278-333', '3': '99-220', '4': '347-472'}",,,,,2.0,"{'1': '33-193', '2': '284-444'}",2.0,"{'1': '35-216', '2': '285-476'}"
F4KB54,,,,,1.0,{'1': '1-721'},4.0,"{'1': '24-120', '2': '298-355', '3': '603-667', '4': '396-435'}",,,2.0,"{'1': '22-128', '2': '297-358'}",1.0,{'1': '297-358'},,
